id,qname,heading,text,type,diagram,website,updated
,PermitGranteeTypeCode,PermitGranteeTypeCode,A code that indicates the type of grantee of the permit.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/PermitGranteeTypeCode.dot.svg,https://w3id.org/itsdata/regulation/v1/PermitGranteeTypeCode,2026-07-21T18:08:15.348954
,PermitGrantorTypeCode,PermitGrantorTypeCode,A code that indicates the type of grantor of the permit.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/PermitGrantorTypeCode.dot.svg,https://w3id.org/itsdata/regulation/v1/PermitGrantorTypeCode,2026-07-21T18:08:15.348954
,PermitRequiredCondition,PermitRequiredCondition,A condition that is based on the possession of a permit.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/PermitRequiredCondition.dot.svg,https://w3id.org/itsdata/regulation/v1/PermitRequiredCondition,2026-07-21T18:08:15.348954
,PermitType,PermitType,A category of certificate that the grantor is able to issue to designate a grantee as a specific type of entity.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/PermitType.dot.svg,https://w3id.org/itsdata/regulation/v1/PermitType,2026-07-21T18:08:15.348954
,ReasonCode,ReasonCode,A code indicating the reason for the traffic regulation order.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/ReasonCode.dot.svg,https://w3id.org/itsdata/regulation/v1/ReasonCode,2026-07-21T18:08:15.348954
,RegistrationMachine,RegistrationMachine,A machine that is used to register the permit.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/RegistrationMachine.dot.svg,https://w3id.org/itsdata/regulation/v1/RegistrationMachine,2026-07-21T18:08:15.348954
,RegulationCode,RegulationCode,,Class,https://w3id.org/itsdata/regulation/v1/diagrams/RegulationCode.dot.svg,https://w3id.org/itsdata/regulation/v1/RegulationCode,2026-07-21T18:08:15.348954
,RegulationDataProperty,RegulationDataProperty,A data property to organize all data properties defined in the Traffic Regulation topic area of the ITS Ontology.,DatatypeProperty,,https://w3id.org/itsdata/regulation/v1/RegulationDataProperty,2026-07-21T18:08:15.348954
,RegulationObjectProperty,RegulationObjectProperty,An object property to organize all object properties defined in the Traffic Regulation topic area of the ITS Ontology.,ObjectProperty,,https://w3id.org/itsdata/regulation/v1/RegulationObjectProperty,2026-07-21T18:08:15.348954
,RegulationThing,RegulationThing,A class to organize all classes defined in the Traffic Regulation topic area of the ITS Ontology.,Class,https://w3id.org/itsdata/regulation/v1/diagrams/RegulationThing.dot.svg,https://w3id.org/itsdata/regulation/v1/RegulationThing,2026-07-21T18:08:15.348954
